episode,stage,map,agents,complexity,success,success_rate
1,0,map_55,4,0.0406293869018554,1,1.0
2,0,map_51,2,0.0386068820953369,1,1.0
3,0,map_31,16,0.0318300127983093,1,1.0
4,0,map_59,8,0.0432140827178955,1,1.0
5,0,map_11,8,0.0500159859657287,1,1.0
6,0,map_19,2,0.0415452122688293,1,1.0
7,0,map_39,4,0.0472275614738464,1,1.0
8,0,map_47,16,0.0468083620071411,1,1.0
9,0,map_23,4,0.044947326183319,1,1.0
10,0,map_3,2,0.0272246003150939,1,1.0
11,0,map_63,16,0.0399672389030456,1,1.0
12,0,map_35,2,0.0425976514816284,1,1.0
13,0,map_7,4,0.034240186214447,1,1.0
14,0,map_55,4,0.0406293869018554,1,1.0
15,0,map_51,2,0.0386068820953369,1,1.0
16,0,map_31,16,0.0318300127983093,1,1.0
17,0,map_59,8,0.0432140827178955,1,1.0
18,0,map_11,8,0.0500159859657287,1,1.0
19,0,map_19,2,0.0415452122688293,1,1.0
20,0,map_39,4,0.0472275614738464,1,1.0
21,0,map_47,16,0.0468083620071411,1,1.0
22,0,map_23,4,0.044947326183319,1,1.0
23,0,map_3,2,0.0272246003150939,1,1.0
24,0,map_63,16,0.0399672389030456,1,1.0
25,0,map_35,2,0.0425976514816284,1,1.0
26,0,map_7,4,0.034240186214447,1,1.0
27,0,map_55,4,0.0406293869018554,1,1.0
28,0,map_51,2,0.0386068820953369,1,1.0
29,0,map_31,16,0.0318300127983093,1,1.0
30,0,map_59,8,0.0432140827178955,1,1.0
31,0,map_11,8,0.0500159859657287,0,0.967741935483871
32,0,map_19,2,0.0415452122688293,0,0.9375
33,0,map_39,4,0.0472275614738464,1,0.9393939393939394
34,0,map_47,16,0.0468083620071411,1,0.9411764705882353
35,0,map_23,4,0.044947326183319,1,0.9428571428571428
36,0,map_3,2,0.0272246003150939,1,0.9444444444444444
37,0,map_63,16,0.0399672389030456,1,0.9459459459459459
38,0,map_35,2,0.0425976514816284,1,0.9473684210526315
39,0,map_7,4,0.034240186214447,1,0.9487179487179487
40,0,map_55,4,0.0406293869018554,1,0.95
41,0,map_51,2,0.0386068820953369,1,0.9512195121951219
42,0,map_31,16,0.0318300127983093,1,0.9523809523809523
43,0,map_59,8,0.0432140827178955,1,0.9534883720930233
44,0,map_11,8,0.0500159859657287,1,0.9545454545454546
45,0,map_19,2,0.0415452122688293,1,0.9555555555555556
46,0,map_39,4,0.0472275614738464,1,0.9565217391304348
47,0,map_47,16,0.0468083620071411,1,0.9574468085106383
48,0,map_23,4,0.044947326183319,1,0.9583333333333334
49,0,map_3,2,0.0272246003150939,1,0.9591836734693877
50,0,map_63,16,0.0399672389030456,1,0.96
51,0,map_35,2,0.0425976514816284,1,0.9607843137254902
52,0,map_7,4,0.034240186214447,1,0.9615384615384616
53,0,map_55,4,0.0406293869018554,1,0.9622641509433962
54,0,map_51,2,0.0386068820953369,1,0.9629629629629629
55,0,map_31,16,0.0318300127983093,1,0.9636363636363636
56,0,map_59,8,0.0432140827178955,1,0.9642857142857143
57,0,map_11,8,0.0500159859657287,1,0.9649122807017544
58,0,map_19,2,0.0415452122688293,1,0.9655172413793104
59,0,map_39,4,0.0472275614738464,1,0.9661016949152542
60,0,map_47,16,0.0468083620071411,1,0.9666666666666667
61,0,map_23,4,0.044947326183319,0,0.9508196721311475
62,0,map_3,2,0.0272246003150939,1,0.9516129032258065
63,0,map_63,16,0.0399672389030456,1,0.9523809523809523
64,0,map_35,2,0.0425976514816284,1,0.953125
65,0,map_7,4,0.034240186214447,1,0.9538461538461539
66,0,map_55,4,0.0406293869018554,1,0.9545454545454546
67,0,map_51,2,0.0386068820953369,1,0.9552238805970149
68,0,map_31,16,0.0318300127983093,1,0.9558823529411765
69,0,map_59,8,0.0432140827178955,1,0.9565217391304348
70,0,map_11,8,0.0500159859657287,1,0.9571428571428572
71,0,map_19,2,0.0415452122688293,1,0.9577464788732394
72,0,map_39,4,0.0472275614738464,1,0.9583333333333334
73,0,map_47,16,0.0468083620071411,1,0.958904109589041
74,0,map_23,4,0.044947326183319,1,0.9594594594594594
75,0,map_3,2,0.0272246003150939,1,0.96
76,0,map_63,16,0.0399672389030456,1,0.9605263157894737
77,0,map_35,2,0.0425976514816284,1,0.961038961038961
78,0,map_7,4,0.034240186214447,1,0.9615384615384616
79,0,map_55,4,0.0406293869018554,1,0.9620253164556962
80,0,map_51,2,0.0386068820953369,1,0.9625
81,0,map_31,16,0.0318300127983093,1,0.9629629629629629
82,0,map_59,8,0.0432140827178955,1,0.9634146341463414
83,0,map_11,8,0.0500159859657287,1,0.963855421686747
84,0,map_19,2,0.0415452122688293,1,0.9642857142857143
85,0,map_39,4,0.0472275614738464,0,0.9529411764705882
86,0,map_47,16,0.0468083620071411,1,0.9534883720930233
87,0,map_23,4,0.044947326183319,1,0.9540229885057471
88,0,map_3,2,0.0272246003150939,1,0.9545454545454546
89,0,map_63,16,0.0399672389030456,1,0.9550561797752809
90,0,map_35,2,0.0425976514816284,1,0.9555555555555556
91,0,map_7,4,0.034240186214447,1,0.9560439560439561
92,0,map_55,4,0.0406293869018554,1,0.9565217391304348
93,0,map_51,2,0.0386068820953369,1,0.956989247311828
94,0,map_31,16,0.0318300127983093,1,0.9574468085106383
95,0,map_59,8,0.0432140827178955,1,0.9578947368421052
96,0,map_11,8,0.0500159859657287,1,0.9583333333333334
97,0,map_19,2,0.0415452122688293,1,0.9587628865979382
98,0,map_39,4,0.0472275614738464,0,0.9489795918367347
99,0,map_47,16,0.0468083620071411,1,0.9494949494949495
100,0,map_23,4,0.044947326183319,1,0.95
101,0,map_3,2,0.0272246003150939,1,0.9504950495049505
102,0,map_63,16,0.0399672389030456,1,0.9509803921568627
103,0,map_35,2,0.0425976514816284,1,0.9514563106796117
104,0,map_7,4,0.034240186214447,1,0.9519230769230769
105,0,map_55,4,0.0406293869018554,1,0.9523809523809523
106,0,map_51,2,0.0386068820953369,1,0.9528301886792453
107,0,map_31,16,0.0318300127983093,1,0.9532710280373832
108,0,map_59,8,0.0432140827178955,1,0.9537037037037037
109,0,map_11,8,0.0500159859657287,1,0.9541284403669725
110,0,map_19,2,0.0415452122688293,1,0.9545454545454546
111,0,map_39,4,0.0472275614738464,1,0.954954954954955
112,0,map_47,16,0.0468083620071411,1,0.9553571428571429
113,0,map_23,4,0.044947326183319,1,0.9557522123893806
114,0,map_3,2,0.0272246003150939,1,0.956140350877193
115,0,map_63,16,0.0399672389030456,1,0.9565217391304348
116,0,map_35,2,0.0425976514816284,1,0.9568965517241379
117,0,map_7,4,0.034240186214447,1,0.9572649572649573
118,0,map_55,4,0.0406293869018554,1,0.9576271186440678
119,0,map_51,2,0.0386068820953369,1,0.957983193277311
120,0,map_31,16,0.0318300127983093,1,0.9583333333333334
121,0,map_59,8,0.0432140827178955,1,0.9586776859504132
