episode,stage,map,agents,complexity,success,reward,steps,avg_loss,avg_epsilon,moving_cost,detour_pct
0,0,map_0,2,1.5077,0,-1.800000000000001,50,0.0014894657651893795,0.9977050000000003,0.0,0.0
1,0,map_5,4,1.5030999999999999,0,-2.9999999999999987,60,0.0006155919157511865,0.9927549999999971,0.0,0.0
2,0,map_9,8,1.4630999999999998,0,-3.899999999999996,70,0.00027621339707236206,0.9869049999999943,0.0,0.0
3,0,map_6,4,1.5185,1,0.0,1,0.0,0.0,1.0,0.0
4,0,map_14,16,1.3985,0,-6.500000000000002,90,0.00020526691401351452,0.9797049999999923,0.0,0.0
5,0,map_15,16,1.4139000000000002,1,-1.6700000000000004,18,0.00019797148064860855,0.9748899999999905,18.0,1700.0
6,0,map_4,4,1.4877,0,-3.7999999999999914,110,0.0001069537116067791,0.9691749999999882,0.0,0.0
7,0,map_11,8,1.4939,1,0.0,1,0.0,0.0,1.0,0.0
8,0,map_8,8,1.4477,0,-3.799999999999988,130,8.087668524799832e-05,0.9583749999999849,0.0,0.0
9,0,map_12,16,1.3677000000000001,0,-5.099999999999992,140,7.38255404550208e-05,0.9462249999999802,0.0,0.0
10,0,map_1,2,1.5231,0,-4.899999999999987,150,0.0001391480776752966,0.9331749999999737,0.0,0.0
11,0,map_10,8,1.4785,1,-8.779999999999996,159,0.0001706107075825699,0.9193149999999687,31.8,2171.4285714285716
12,0,map_13,16,1.3831,1,-0.11,2,0.0001492070296080783,0.9121599999999663,2.0,100.0
13,0,map_0,2,1.5077,0,-7.599999999999991,180,0.00014476836372018118,0.904014999999961,0.0,0.0
14,0,map_5,4,1.5030999999999999,1,-5.889999999999992,160,0.0002353339696128387,0.8887599999999581,20.0,1500.0
15,0,map_9,8,1.4630999999999998,0,-7.399999999999984,200,0.0003293130185920745,0.8726049999999518,0.0,0.0
16,0,map_6,4,1.5185,1,-0.22,3,0.00017506905714981258,0.8635149999999476,3.0,200.0
17,0,map_14,16,1.3985,1,0.09000000000000001,2,0.0001581156102474779,0.8633799999999476,1.0,0.0
18,0,map_15,16,1.4139000000000002,1,0.0,1,0.0,0.0,1.0,0.0
19,0,map_4,4,1.4877,1,-2.170000000000001,88,0.00028617249302640986,0.859419999999946,8.0,700.0
20,0,map_11,8,1.4939,1,-0.8999999999999999,11,0.00022347640042426066,0.8550549999999445,11.0,1000.0
21,0,map_8,8,1.4477,0,-5.999999999999974,260,0.00045668751610299714,0.8429049999999383,0.0,0.0
22,0,map_12,16,1.3677000000000001,0,-8.799999999999978,270,0.0002097292728043006,0.8190549999999287,0.0,0.0
23,0,map_1,2,1.5231,1,-1.2400000000000002,45,0.00045720677768589337,0.8049249999999252,5.625,350.0
24,0,map_10,8,1.4785,1,-7.949999999999994,166,0.0003130747854646126,0.7955199999999208,33.2,2271.4285714285716
25,0,map_13,16,1.3831,0,-14.99999999999995,300,0.00030730109504171804,0.7745949999999121,0.0,0.0
26,0,map_0,2,1.5077,1,-0.6899999999999998,100,0.00032491815246164216,0.7566399999999059,3.8461538461538463,284.61538461538464
27,0,map_5,4,1.5030999999999999,1,-2.3499999999999983,66,0.0003393865178133218,0.7492599999999041,11.0,725.0
28,0,map_9,8,1.4630999999999998,0,-13.699999999999948,330,0.0003311503829811982,0.731484999999897,0.0,0.0
29,0,map_6,4,1.5185,1,-1.640000000000001,65,0.0005231342181559739,0.7137549999998902,5.909090909090909,282.3529411764706
30,0,map_14,16,1.3985,1,-2.939999999999998,55,0.0003816892863984254,0.7084449999998883,55.0,5400.0
31,0,map_15,16,1.4139000000000002,1,-0.4799999999999999,9,0.00021104882034705952,0.7056549999998871,4.5,350.0
32,0,map_4,4,1.4877,0,-10.199999999999953,370,0.00016293226514323112,0.6886449999998826,0.0,0.0
33,0,map_11,8,1.4939,1,-0.3899999999999999,10,8.505995962574768e-05,0.6715899999998741,2.5,150.0
34,0,map_8,8,1.4477,0,-9.199999999999948,390,5.67054019344281e-05,0.6536349999998669,0.0,0.0
35,0,map_12,16,1.3677000000000001,1,-1.270000000000002,178,0.00037503602871473017,0.6281199999998581,4.684210526315789,368.42105263157896
36,0,map_1,2,1.5231,1,-2.000000000000001,51,0.0007909196248510852,0.6179049999998534,6.375,409.99999999999994
37,0,map_10,8,1.4785,1,-0.9099999999999999,22,0.0004892097550466479,0.6147099999998523,5.5,450.0
38,0,map_13,16,1.3831,1,-2.429999999999997,94,0.0004515890531199333,0.6095799999998498,11.75,840.0
39,0,map_0,2,1.5077,1,-0.6799999999999999,99,0.0005312863774763953,0.6009849999998473,3.8076923076923075,280.7692307692308
40,0,map_5,4,1.5030999999999999,1,0.05999999999999921,115,0.0005954822377054626,0.5914449999998432,3.59375,202.6315789473684
41,0,map_9,8,1.4630999999999998,1,-0.31999999999999995,103,0.0006176220862578382,0.5817249999998396,3.21875,171.05263157894737
42,0,map_6,4,1.5185,1,-0.11,2,0.0006977299926802516,0.5770899999998379,2.0,100.0
43,0,map_14,16,1.3985,1,-0.11,2,0.0009606939274817705,0.5769999999998379,2.0,100.0
44,0,map_15,16,1.4139000000000002,1,-0.26,7,0.0005282281344989315,0.5766849999998378,3.5,250.0
45,0,map_4,4,1.4877,1,-0.7200000000000001,143,0.0006799756024200075,0.570024999999836,3.25,225.0
46,0,map_11,8,1.4939,1,-0.5,11,0.000551521498709917,0.5631849999998326,11.0,1000.0
47,0,map_8,8,1.4477,1,-2.849999999999994,136,0.0004133323207497597,0.5566599999998302,12.363636363636363,1136.3636363636363
48,0,map_12,16,1.3677000000000001,1,0.22000000000000008,19,0.00028563738669618033,0.5497749999998274,2.111111111111111,111.11111111111111
49,0,map_1,2,1.5231,1,-3.419999999999995,163,0.0006013928217681148,0.5416749999998234,5.09375,328.9473684210526
