episode,stage,map,agents,complexity,success,success_rate
1,0,map_0,2,1.5077,0,0.0
2,0,map_5,4,1.5030999999999999,0,0.0
3,0,map_9,8,1.4630999999999998,0,0.0
4,0,map_6,4,1.5185,0,0.0
5,0,map_14,16,1.3985,0,0.0
6,0,map_15,16,1.4139000000000002,1,0.16666666666666666
7,0,map_4,4,1.4877,0,0.14285714285714285
8,0,map_11,8,1.4939,1,0.25
9,0,map_8,8,1.4477,0,0.2222222222222222
10,0,map_12,16,1.3677000000000001,0,0.2
11,0,map_1,2,1.5231,0,0.18181818181818182
12,0,map_10,8,1.4785,1,0.25
13,0,map_13,16,1.3831,0,0.23076923076923078
14,0,map_0,2,1.5077,0,0.21428571428571427
15,0,map_5,4,1.5030999999999999,0,0.2
16,0,map_9,8,1.4630999999999998,0,0.1875
17,0,map_6,4,1.5185,1,0.23529411764705882
18,0,map_14,16,1.3985,1,0.2777777777777778
19,0,map_15,16,1.4139000000000002,1,0.3157894736842105
20,0,map_4,4,1.4877,0,0.3
21,0,map_11,8,1.4939,1,0.3333333333333333
22,0,map_8,8,1.4477,0,0.3181818181818182
23,0,map_12,16,1.3677000000000001,1,0.34782608695652173
24,0,map_1,2,1.5231,1,0.375
25,0,map_10,8,1.4785,1,0.4
26,0,map_13,16,1.3831,0,0.38461538461538464
27,0,map_0,2,1.5077,1,0.4074074074074074
28,0,map_5,4,1.5030999999999999,1,0.42857142857142855
29,0,map_9,8,1.4630999999999998,1,0.4482758620689655
30,0,map_6,4,1.5185,1,0.4666666666666667
31,0,map_14,16,1.3985,1,0.4838709677419355
32,0,map_15,16,1.4139000000000002,1,0.5
33,0,map_4,4,1.4877,1,0.5151515151515151
34,0,map_11,8,1.4939,1,0.5294117647058824
35,0,map_8,8,1.4477,1,0.5428571428571428
36,0,map_12,16,1.3677000000000001,1,0.5555555555555556
37,0,map_1,2,1.5231,1,0.5675675675675675
38,0,map_10,8,1.4785,1,0.5789473684210527
39,0,map_13,16,1.3831,1,0.5897435897435898
40,0,map_0,2,1.5077,1,0.6
41,0,map_5,4,1.5030999999999999,1,0.6097560975609756
42,0,map_9,8,1.4630999999999998,1,0.6190476190476191
43,0,map_6,4,1.5185,1,0.627906976744186
44,0,map_14,16,1.3985,1,0.6363636363636364
45,0,map_15,16,1.4139000000000002,1,0.6444444444444445
46,0,map_4,4,1.4877,1,0.6521739130434783
47,0,map_11,8,1.4939,1,0.6595744680851063
48,0,map_8,8,1.4477,1,0.6666666666666666
49,0,map_12,16,1.3677000000000001,1,0.673469387755102
50,0,map_1,2,1.5231,1,0.68
51,0,map_10,8,1.4785,1,0.6862745098039216
52,0,map_13,16,1.3831,1,0.6923076923076923
53,0,map_0,2,1.5077,0,0.6792452830188679
54,0,map_5,4,1.5030999999999999,1,0.6851851851851852
55,0,map_9,8,1.4630999999999998,1,0.6909090909090909
56,0,map_6,4,1.5185,1,0.6964285714285714
57,0,map_14,16,1.3985,1,0.7017543859649122
58,0,map_15,16,1.4139000000000002,1,0.7068965517241379
59,0,map_4,4,1.4877,1,0.711864406779661
60,0,map_11,8,1.4939,1,0.7166666666666667
61,0,map_8,8,1.4477,1,0.7213114754098361
62,0,map_12,16,1.3677000000000001,1,0.7258064516129032
63,0,map_1,2,1.5231,1,0.7301587301587301
64,0,map_10,8,1.4785,1,0.734375
65,0,map_13,16,1.3831,1,0.7384615384615385
66,0,map_0,2,1.5077,1,0.7424242424242424
67,0,map_5,4,1.5030999999999999,1,0.746268656716418
68,0,map_9,8,1.4630999999999998,0,0.7352941176470589
69,0,map_6,4,1.5185,1,0.7391304347826086
70,0,map_14,16,1.3985,1,0.7428571428571429
71,0,map_15,16,1.4139000000000002,1,0.7464788732394366
72,0,map_4,4,1.4877,1,0.75
73,0,map_11,8,1.4939,1,0.7534246575342466
74,0,map_8,8,1.4477,1,0.7567567567567568
75,0,map_12,16,1.3677000000000001,0,0.7466666666666667
76,0,map_1,2,1.5231,0,0.7368421052631579
77,0,map_10,8,1.4785,1,0.7402597402597403
78,0,map_13,16,1.3831,1,0.7435897435897436
79,0,map_0,2,1.5077,1,0.7468354430379747
80,0,map_5,4,1.5030999999999999,1,0.75
81,0,map_9,8,1.4630999999999998,1,0.7530864197530864
82,0,map_6,4,1.5185,1,0.7560975609756098
83,0,map_14,16,1.3985,1,0.7590361445783133
84,0,map_15,16,1.4139000000000002,1,0.7619047619047619
85,0,map_4,4,1.4877,1,0.7647058823529411
86,0,map_11,8,1.4939,1,0.7674418604651163
87,0,map_8,8,1.4477,1,0.7701149425287356
88,0,map_12,16,1.3677000000000001,1,0.7727272727272727
89,0,map_1,2,1.5231,1,0.7752808988764045
90,0,map_10,8,1.4785,1,0.7777777777777778
91,0,map_13,16,1.3831,1,0.7802197802197802
92,0,map_0,2,1.5077,1,0.782608695652174
93,0,map_5,4,1.5030999999999999,1,0.7849462365591398
94,0,map_9,8,1.4630999999999998,1,0.7872340425531915
95,0,map_6,4,1.5185,1,0.7894736842105263
96,0,map_14,16,1.3985,1,0.7916666666666666
97,0,map_15,16,1.4139000000000002,1,0.7938144329896907
98,0,map_4,4,1.4877,1,0.7959183673469388
99,0,map_11,8,1.4939,1,0.797979797979798
100,0,map_8,8,1.4477,1,0.8
101,1,map_26,8,2.1505,1,0.801980198019802
102,1,map_7,4,1.5339,1,0.803921568627451
103,1,map_28,16,2.0397,1,0.8058252427184466
104,1,map_21,4,2.1751,0,0.7980769230769231
105,1,map_31,16,2.0859,1,0.8
106,1,map_30,16,2.0705,1,0.8018867924528302
107,1,map_24,8,2.1197,0,0.794392523364486
108,1,map_20,4,2.1597,0,0.7870370370370371
109,1,map_2,2,1.5385,0,0.7798165137614679
110,1,map_27,8,2.1659,1,0.7818181818181819
111,1,map_29,16,2.0551,0,0.7747747747747747
112,1,map_3,2,1.5539,1,0.7767857142857143
113,1,map_25,8,2.1351,1,0.7787610619469026
114,1,map_26,8,2.1505,1,0.7807017543859649
115,1,map_7,4,1.5339,1,0.782608695652174
116,1,map_28,16,2.0397,1,0.7844827586206896
117,1,map_21,4,2.1751,1,0.7863247863247863
118,1,map_31,16,2.0859,1,0.788135593220339
119,1,map_30,16,2.0705,1,0.7899159663865546
120,1,map_24,8,2.1197,1,0.7916666666666666
121,1,map_20,4,2.1597,1,0.7933884297520661
122,1,map_2,2,1.5385,1,0.7950819672131147
123,1,map_27,8,2.1659,1,0.7967479674796748
124,1,map_29,16,2.0551,0,0.7903225806451613
125,1,map_3,2,1.5539,1,0.792
126,1,map_25,8,2.1351,1,0.7936507936507936
127,1,map_26,8,2.1505,1,0.7952755905511811
128,1,map_7,4,1.5339,1,0.796875
129,1,map_28,16,2.0397,1,0.7984496124031008
130,1,map_21,4,2.1751,1,0.8
131,1,map_31,16,2.0859,1,0.8015267175572519
132,1,map_30,16,2.0705,1,0.803030303030303
133,1,map_24,8,2.1197,1,0.8045112781954887
134,1,map_20,4,2.1597,1,0.8059701492537313
135,1,map_2,2,1.5385,1,0.8074074074074075
136,1,map_27,8,2.1659,1,0.8088235294117647
137,1,map_29,16,2.0551,0,0.8029197080291971
138,1,map_3,2,1.5539,1,0.8043478260869565
139,1,map_25,8,2.1351,1,0.8057553956834532
140,1,map_26,8,2.1505,1,0.8071428571428572
141,1,map_7,4,1.5339,1,0.8085106382978723
142,1,map_28,16,2.0397,1,0.8098591549295775
143,1,map_21,4,2.1751,1,0.8111888111888111
144,1,map_31,16,2.0859,1,0.8125
145,1,map_30,16,2.0705,1,0.8137931034482758
146,1,map_24,8,2.1197,1,0.815068493150685
147,1,map_20,4,2.1597,0,0.8095238095238095
148,1,map_2,2,1.5385,1,0.8108108108108109
149,1,map_27,8,2.1659,1,0.8120805369127517
150,1,map_29,16,2.0551,1,0.8133333333333334
151,1,map_3,2,1.5539,1,0.8145695364238411
152,1,map_25,8,2.1351,1,0.8157894736842105
153,1,map_26,8,2.1505,1,0.8169934640522876
154,1,map_7,4,1.5339,1,0.8181818181818182
155,1,map_28,16,2.0397,1,0.8193548387096774
156,1,map_21,4,2.1751,1,0.8205128205128205
157,1,map_31,16,2.0859,1,0.821656050955414
158,1,map_30,16,2.0705,1,0.8227848101265823
159,1,map_24,8,2.1197,1,0.8238993710691824
160,1,map_20,4,2.1597,1,0.825
161,1,map_2,2,1.5385,1,0.8260869565217391
162,1,map_27,8,2.1659,1,0.8271604938271605
163,1,map_29,16,2.0551,1,0.8282208588957055
164,1,map_3,2,1.5539,1,0.8292682926829268
165,1,map_25,8,2.1351,0,0.8242424242424242
166,1,map_26,8,2.1505,1,0.8253012048192772
167,1,map_7,4,1.5339,1,0.8263473053892215
168,1,map_28,16,2.0397,1,0.8273809523809523
169,1,map_21,4,2.1751,1,0.8284023668639053
170,1,map_31,16,2.0859,1,0.8294117647058824
171,1,map_30,16,2.0705,1,0.8304093567251462
172,1,map_24,8,2.1197,1,0.8313953488372093
173,1,map_20,4,2.1597,0,0.8265895953757225
174,1,map_2,2,1.5385,0,0.8218390804597702
175,1,map_27,8,2.1659,1,0.8228571428571428
176,1,map_29,16,2.0551,1,0.8238636363636364
177,1,map_3,2,1.5539,1,0.8248587570621468
178,1,map_25,8,2.1351,1,0.8258426966292135
179,1,map_26,8,2.1505,1,0.8268156424581006
180,1,map_7,4,1.5339,1,0.8277777777777777
181,1,map_28,16,2.0397,1,0.8287292817679558
182,1,map_21,4,2.1751,1,0.8296703296703297
183,1,map_31,16,2.0859,1,0.8306010928961749
184,1,map_30,16,2.0705,1,0.8315217391304348
185,1,map_24,8,2.1197,1,0.8324324324324325
186,1,map_20,4,2.1597,1,0.8333333333333334
187,1,map_2,2,1.5385,1,0.8342245989304813
188,1,map_27,8,2.1659,1,0.8351063829787234
189,1,map_29,16,2.0551,1,0.8359788359788359
190,1,map_3,2,1.5539,1,0.8368421052631579
191,1,map_25,8,2.1351,1,0.837696335078534
192,1,map_26,8,2.1505,1,0.8385416666666666
193,1,map_7,4,1.5339,1,0.8393782383419689
194,1,map_28,16,2.0397,0,0.8350515463917526
195,1,map_21,4,2.1751,0,0.8307692307692308
196,1,map_31,16,2.0859,1,0.8316326530612245
197,1,map_30,16,2.0705,1,0.8324873096446701
198,1,map_24,8,2.1197,0,0.8282828282828283
199,1,map_20,4,2.1597,1,0.8291457286432161
200,1,map_2,2,1.5385,1,0.83
201,2,map_16,2,2.1797,1,0.8308457711442786
202,2,map_47,16,2.7579,1,0.8316831683168316
203,2,map_18,2,2.2105,1,0.8325123152709359
204,2,map_46,16,2.7424999999999997,1,0.8333333333333334
205,2,map_44,16,2.7116999999999996,1,0.8341463414634146
