Episode,Map,Size,Agents,Density,Reward,Moving Cost,Detour Percentage,Average Loss,Average Epsilon,Success
0,map_0,32,2,0.1,-2.299999999999999,0.0,0.0,0.0020732074772240594,0.9954100000000012,0
1,map_0,32,2,0.1,-2.2,0.0,0.0,0.00041873546894445705,0.9855100000000033,0
2,map_0,32,2,0.1,-2.8999999999999972,0.0,0.0,0.00012414358331755337,0.973810000000006,0
3,map_0,32,2,0.1,-2.9999999999999964,0.0,0.0,6.197896273079096e-05,0.9603100000000092,0
4,map_0,32,2,0.1,-2.999999999999994,0.0,0.0,9.00706777328095e-05,0.9450100000000129,0
5,map_0,32,2,0.1,-3.399999999999995,0.0,0.0,0.000174543619978067,0.9279100000000162,0
6,map_0,32,2,0.1,-3.9999999999999885,0.0,0.0,0.0001222327559100284,0.9090100000000212,0
7,map_0,32,2,0.1,-3.7999999999999883,0.0,0.0,0.0001007553798748025,0.8883100000000259,0
8,map_0,32,2,0.1,-4.499999999999989,0.0,0.0,9.537152428282963e-05,0.8658100000000316,0
9,map_0,32,2,0.1,-5.099999999999991,0.0,0.0,8.875962761781661e-05,0.8415100000000368,0
0,map_1,32,2,0.3,-2.699999999999998,0.0,0.0,0.001468222375260666,0.9954100000000012,0
1,map_1,32,2,0.3,-3.1999999999999993,0.0,0.0,0.001062113675288856,0.9855100000000033,0
2,map_1,32,2,0.3,-3.4999999999999973,0.0,0.0,0.00031153981638323917,0.973810000000006,0
3,map_1,32,2,0.3,-4.4999999999999964,0.0,0.0,0.00020547078711388166,0.9603100000000092,0
4,map_1,32,2,0.3,-4.799999999999997,0.0,0.0,0.00024177518134820274,0.9450100000000129,0
5,map_1,32,2,0.3,-4.699999999999995,0.0,0.0,0.00023310641103307716,0.9279100000000162,0
6,map_1,32,2,0.3,-4.099999999999991,0.0,0.0,0.00016909000160839324,0.9090100000000212,0
7,map_1,32,2,0.3,-5.299999999999992,0.0,0.0,0.0001897844730289459,0.8883100000000259,0
