episode,stage,map,agents,complexity,success,reward,steps,avg_loss,avg_epsilon,moving_cost,detour_pct
0,0,map_0,2,1.5077,0,-2.399999999999998,50,0.003046000783506315,0.9977050000000003,0.0,0.0
1,0,map_5,4,1.5030999999999999,0,-2.899999999999999,60,0.0013620946110070994,0.9927549999999971,0.0,0.0
2,0,map_9,8,1.4630999999999998,0,-2.7999999999999976,70,0.000785450026160106,0.9869049999999943,0.0,0.0
3,0,map_6,4,1.5185,1,-0.07999999999999997,9,0.0004689253073593136,0.9833949999999936,2.25,125.0
4,0,map_14,16,1.3985,1,-0.9500000000000001,16,0.00046869789560635884,0.9823599999999931,8.0,700.0
5,0,map_15,16,1.4139000000000002,1,0.0,1,0.0,0.0,1.0,0.0
6,0,map_4,4,1.4877,0,-3.1999999999999935,110,0.0002751687319025884,0.9767349999999897,0.0,0.0
7,0,map_11,8,1.4939,1,-1.9700000000000009,28,0.0003666656541301765,0.9705699999999887,7.0,600.0
8,0,map_8,8,1.4477,0,-3.5999999999999845,130,0.00034273753094916736,0.9635049999999854,0.0,0.0
9,0,map_12,16,1.3677000000000001,0,-4.799999999999988,140,0.0002378267053635292,0.9513549999999804,0.0,0.0
10,0,map_1,2,1.5231,0,-6.199999999999988,150,0.00025628166462411174,0.9383049999999767,0.0,0.0
11,0,map_10,8,1.4785,1,-3.1899999999999986,50,0.0002966120242787411,0.9293499999999733,12.5,1150.0
12,0,map_13,16,1.3831,0,-8.299999999999994,170,0.00036420954698662493,0.9194949999999695,0.0,0.0
13,0,map_0,2,1.5077,0,-6.999999999999985,180,0.0001943502611740971,0.9037449999999614,0.0,0.0
14,0,map_5,4,1.5030999999999999,0,-11.09999999999998,190,0.0002421259811135793,0.8870949999999561,0.0,0.0
15,0,map_9,8,1.4630999999999998,0,-10.099999999999982,200,0.0002156358634783828,0.86954499999995,0.0,0.0
16,0,map_6,4,1.5185,1,-0.11,2,0.000238446838920936,0.8604999999999465,2.0,100.0
17,0,map_14,16,1.3985,1,-1.5200000000000005,33,0.00023317861814575735,0.8590149999999457,6.6,371.42857142857144
18,0,map_15,16,1.4139000000000002,1,-0.33,4,0.0002438713563606143,0.8574399999999454,4.0,300.0
19,0,map_4,4,1.4877,0,-7.299999999999982,240,0.00020206106370703006,0.8465049999999411,0.0,0.0
20,0,map_11,8,1.4939,1,-1.2700000000000002,18,0.00020834587656495655,0.8349399999999367,18.0,1700.0
21,0,map_8,8,1.4477,0,-8.699999999999978,260,0.00013771351083190754,0.8224749999999315,0.0,0.0
22,0,map_12,16,1.3677000000000001,1,-2.5599999999999925,137,0.00029451317935608504,0.804654999999924,6.85,585.0
23,0,map_1,2,1.5231,0,-12.199999999999962,280,0.00016082959095261426,0.7859349999999194,0.0,0.0
24,0,map_10,8,1.4785,1,-2.020000000000001,43,0.0001334304244145252,0.7714449999999125,21.5,2050.0
25,0,map_13,16,1.3831,0,-13.099999999999948,300,0.00017865305157708158,0.7560549999999076,0.0,0.0
26,0,map_0,2,1.5077,1,-2.8799999999999923,169,0.0003686342234643581,0.734994999999898,6.5,550.0
27,0,map_5,4,1.5030999999999999,1,-1.2400000000000002,65,0.0003301878288084481,0.7245549999998941,8.125,550.0
28,0,map_9,8,1.4630999999999998,1,-2.6499999999999964,66,0.0005280645734343964,0.7187499999998919,11.0,725.0
29,0,map_6,4,1.5185,1,-1.01,12,0.0005479151652914218,0.715329999999891,12.0,1100.0
30,0,map_14,16,1.3985,1,-5.919999999999999,113,0.0004544940586908654,0.7097949999998894,18.833333333333332,841.6666666666666
