algo,map_name,map_size,num_agents,obstacle_density,success_rate
CL,map_0,32,2,0.1,1.0
CL,map_1,32,2,0.3,1.0
CL,map_0,32,2,0.1,0.7866666666666666
CL,map_1,32,2,0.3,0.8766666666666667
CL,map_10,32,8,0.5,0.9333333333333333
CL,map_11,32,8,0.7,0.97
CL,map_12,32,16,0.1,0.7066666666666667
CL,map_13,32,16,0.3,0.7933333333333333
CL,map_14,32,16,0.5,0.9466666666666667
CL,map_15,32,16,0.7,0.9566666666666667
CL,map_16,64,2,0.1,0.6733333333333333
CL,map_17,64,2,0.3,0.8166666666666667
CL,map_18,64,2,0.5,0.7533333333333333
CL,map_19,64,2,0.7,0.9533333333333334
CL,map_2,32,2,0.5,0.9533333333333334
CL,map_20,64,4,0.1,0.7433333333333333
CL,map_21,64,4,0.3,0.87
CL,map_22,64,4,0.5,0.58
CL,map_23,64,4,0.7,0.97
CL,map_24,64,8,0.1,0.8133333333333334
CL,map_25,64,8,0.3,0.8433333333333334
CL,map_26,64,8,0.5,0.7933333333333333
CL,map_27,64,8,0.7,0.9933333333333333
CL,map_28,64,16,0.1,0.6733333333333333
CL,map_29,64,16,0.3,0.8966666666666666
CL,map_3,32,2,0.7,0.9433333333333334
CL,map_30,64,16,0.5,0.6366666666666667
CL,map_31,64,16,0.7,0.9866666666666667
CL,map_32,96,2,0.1,0.71
CL,map_33,96,2,0.3,0.84
CL,map_34,96,2,0.5,0.9033333333333333
CL,map_35,96,2,0.7,0.9566666666666667
CL,map_36,96,4,0.1,0.6966666666666667
CL,map_37,96,4,0.3,0.8966666666666666
CL,map_38,96,4,0.5,0.92
CL,map_39,96,4,0.7,0.9433333333333334
CL,map_4,32,4,0.1,0.7133333333333334
CL,map_40,96,8,0.1,0.73
CL,map_41,96,8,0.3,0.8566666666666667
CL,map_42,96,8,0.5,0.92
CL,map_43,96,8,0.7,0.9966666666666667
CL,map_44,96,16,0.1,0.74
CL,map_45,96,16,0.3,0.8433333333333334
CL,map_46,96,16,0.5,0.94
CL,map_47,96,16,0.7,0.95
CL,map_48,128,2,0.1,0.7233333333333334
CL,map_49,128,2,0.3,0.71
CL,map_5,32,4,0.3,0.84
CL,map_50,128,2,0.5,0.9633333333333334
CL,map_51,128,2,0.7,0.9833333333333333
CL,map_52,128,4,0.1,0.6466666666666666
CL,map_53,128,4,0.3,0.72
CL,map_54,128,4,0.5,0.95
CL,map_55,128,4,0.7,0.9866666666666667
CL,map_56,128,8,0.1,0.71
CL,map_57,128,8,0.3,0.7233333333333334
CL,map_58,128,8,0.5,0.9566666666666667
CL,map_59,128,8,0.7,1.0
CL,map_6,32,4,0.5,0.9333333333333333
CL,map_60,128,16,0.1,0.7066666666666667
CL,map_61,128,16,0.3,0.7266666666666667
CL,map_62,128,16,0.5,0.97
CL,map_63,128,16,0.7,0.9933333333333333
CL,map_7,32,4,0.7,0.9533333333333334
CL,map_8,32,8,0.1,0.72
CL,map_9,32,8,0.3,0.7633333333333333
